,stock_id,stock_name
2,00001,CK HUTCHISON HOLDINGS LIMITED
3,00002,CLP HOLDINGS LIMITED
4,00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE"
5,00004,"WHARF (HOLDINGS) LIMITED, THE"
6,00005,HSBC HOLDINGS PLC
7,00006,POWER ASSETS HOLDINGS LIMITED
8,00007,WISDOM WEALTH RESOURCES INVESTMENT HOLDING GROUP LIMITED
9,00008,PCCW LIMITED
10,00009,KEYNE LTD
11,00010,HANG LUNG GROUP LIMITED
12,00011,HANG SENG BANK LTD
13,00012,HENDERSON LAND DEVELOPMENT CO LTD
14,00013,HUTCHMED (CHINA) LIMITED
15,00014,HYSAN DEVELOPMENT COMPANY LIMITED
16,00016,SUN HUNG KAI PROPERTIES LIMITED
17,00017,NEW WORLD DEVELOPMENT CO LTD
18,00018,ORIENTAL ENTERPRISE HOLDINGS LIMITED
19,00019,SWIRE PACIFIC LTD 'A'
20,00020,SENSETIME GROUP INC.
21,00021,GREAT CHINA HOLDINGS (HONG KONG) LIMITED
22,00022,MEXAN LIMITED
23,00023,BANK OF EAST ASIA LTD
24,00025,CHEVALIER INTERNATIONAL HOLDINGS LIMITED
25,00026,CHINA MOTOR BUS COMPANY LIMITED
26,00027,GALAXY ENTERTAINMENT GROUP LIMITED
27,00028,TIAN AN CHINA INVESTMENTS COMPANY LIMITED
28,00029,DYNAMIC HOLDINGS LIMITED
29,00030,BAN LOONG HOLDINGS LIMITED
30,00031,CHINA AEROSPACE INTERNATIONAL HOLDINGS LIMITED
31,00032,"CROSS-HARBOUR (HOLDINGS) LIMITED, THE"
32,00033,AMBER HILL FINANCIAL HOLDINGS LIMITED
33,00034,KOWLOON DEVELOPMENT COMPANY LIMITED
34,00035,FAR EAST CONSORTIUM INTERNATIONAL LTD
35,00036,FAR EAST HOLDINGS INTERNATIONAL LIMITED
36,00037,FAR EAST HOTELS & ENTERTAINMENT LIMITED
37,00038,FIRST TRACTOR COMPANY LIMITED
38,00039,CHINA BEIDAHUANG INDUSTRY GROUP HOLDINGS LIMITED
39,00040,GOLD PEAK TECHNOLOGY GROUP LIMITED
40,00041,GREAT EAGLE HOLDINGS LIMITED
41,00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED
42,00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE"
43,00046,COMPUTER AND TECHNOLOGIES HOLDINGS LIMITED
44,00048,CHINA AUTOMOTIVE INTERIOR DECORATION HOLDINGS LIMITED
45,00050,HONG KONG FERRY (HOLDINGS) CO LTD
46,00051,HARBOUR CENTRE DEVELOPMENT LTD
47,00052,FAIRWOOD HOLDINGS LIMITED
48,00053,GUOCO GROUP LIMITED
49,00055,NEWAY GROUP HOLDINGS LIMITED
50,00057,CHEN HSONG HOLDINGS LTD
51,00058,SUNWAY INTERNATIONAL HOLDINGS LIMITED
52,00059,SKYFAME REALTY (HOLDINGS) LIMITED
53,00060,HONG KONG FOOD INVESTMENT HOLDINGS LIMITED
54,00061,GREEN LEADER HOLDINGS GROUP LIMITED
55,00062,TRANSPORT INTERNATIONAL HOLDINGS LIMITED
56,00063,CHINA ASIA VALLEY GROUP LIMITED
57,00064,GET NICE HOLDINGS LIMITED
58,00065,GRAND OCEAN ADVANCED RESOURCES COMPANY LIMITED
59,00066,MTR CORPORATION LIMITED
60,00068,LEE HING DEVELOPMENT LTD
